sentence_text,true_label,predicted_label,post_id
"I try my best to keep myself optimistic but most days it doesn't work as I would hope to like it too, then again it's probably best to not stay to optimistic just to eventually let myself down because I'd over hyped myself.",DEPRESSED_MOOD,SPECIAL_CASE,s_586_428
"I'm also quite pessimistic by nature, but hope still gets me every time.",DEPRESSED_MOOD,NO_SYMPTOM,s_3003_261
I still experience sexual satisfaction with my partner but I have just accepted that it will be more difficult for me now.,NO_SYMPTOM,ANHEDONIA,s_2625_5
Recently I've been going to bed quite late and almost at the point of dropping into sleep as soon as my head hits the pillow.,NO_SYMPTOM,SLEEP_ISSUES,s_1330_18
And now I'm sad.,NO_SYMPTOM,DEPRESSED_MOOD,s_18_228
Also I have lived recklessly because I thought I didn't had much future.,DEPRESSED_MOOD,WORTHLESSNESS,s_993_83
Increased my personal interest in the game.,SPECIAL_CASE,ANHEDONIA,s_1728_52
i want sex.,NO_SYMPTOM,ANHEDONIA,s_2107_102
"I still feel a lot of guilt, but working with my dog and truly spending time with him doing things he wants to do and being there as his cheerleader as he learns new things has helped ease some of that guilt.",WORTHLESSNESS,NO_SYMPTOM,s_1834_697
"When our brains can no longer process the sadness, anhedonia sets in.",ANHEDONIA,DEPRESSED_MOOD,s_1625_393
I just can't focus,NO_SYMPTOM,COGNITIVE_ISSUES,s_1210_72
Life is hell.,DEPRESSED_MOOD,SUICIDAL_THOUGHTS,s_2415_614
"Since I believe that I am a sex addict and a sexual anorexic, that means I have a disease of the mind, body, and spirit that reacts very negatively to all sexual stimuli.",NO_SYMPTOM,SPECIAL_CASE,s_2833_1068
"But now I feel like Im hitting a wall, it becomes so frustrating I feel like I get burnt out, and then end up feeling like I need to force myself into doing something however I just end up thinking about it all day and maybe do it last minute if that, and if I dont do it i really beat myself up over it the next day and it becomes harder.",ANHEDONIA,WORTHLESSNESS,s_1551_7
I get depressed about the lost youth I once had.,WORTHLESSNESS,DEPRESSED_MOOD,s_485_974
"I have a long list of books I'd like to read, but my concentration is terrible.",NO_SYMPTOM,COGNITIVE_ISSUES,s_2679_133
"After the third day, I just couldn't concentrate on anything.",NO_SYMPTOM,COGNITIVE_ISSUES,s_1683_76
"I can eat whatever I see as optimal for my health, because my sense of reward is not dependent on my dietary choices.",NO_SYMPTOM,APPETITE_CHANGE,s_1234_37
I'm already happy with who I am and what I do,NO_SYMPTOM,SPECIAL_CASE,s_1404_495
Im so angry now.,NO_SYMPTOM,DEPRESSED_MOOD,s_2953_1058
"I haven't been actually hungry in a week, it's just I know I need to eat and just can't.",NO_SYMPTOM,APPETITE_CHANGE,s_1580_138
"It has definitely worked on my anxiety, and I dont feel anxious at all anymore.",NO_SYMPTOM,PSYCHOMOTOR,s_2334_225
"When I'm truly happy, I feel like I can accomplish anything, and I feel like a totally different person from the depressed self-loathing human being that I usually am.",WORTHLESSNESS,SPECIAL_CASE,s_2492_10
